STATECD,COUNTYCD,PLOT,INVYR,KEY,TIME_PER
55,23,20006,2000,55_23_20006,0
55,23,20219,2000,55_23_20219,0
55,23,20221,2000,55_23_20221,0
55,23,20222,2000,55_23_20222,0
55,23,20223,2000,55_23_20223,0
55,23,20224,2000,55_23_20224,0
55,23,20225,2000,55_23_20225,0
55,23,20226,2000,55_23_20226,0
55,23,20227,2000,55_23_20227,0
55,23,20228,2000,55_23_20228,0
55,7,20606,2000,55_7_20606,0
55,7,20608,2000,55_7_20608,0
55,7,20609,2000,55_7_20609,0
55,7,20610,2000,55_7_20610,0
55,7,20611,2000,55_7_20611,0
55,7,20618,2000,55_7_20618,0
55,7,20619,2000,55_7_20619,0
55,7,20620,2000,55_7_20620,0
55,13,20040,2000,55_13_20040,0
55,13,20023,2000,55_13_20023,0
55,13,20062,2000,55_13_20062,0
55,13,20118,2000,55_13_20118,0
55,13,20201,2000,55_13_20201,0
55,13,20043,2000,55_13_20043,0
55,13,20369,2000,55_13_20369,0
55,13,20372,2000,55_13_20372,0
55,23,20229,2000,55_23_20229,0
55,25,20369,2000,55_25_20369,0
55,25,20388,2000,55_25_20388,0
55,25,20124,2000,55_25_20124,0
55,25,20399,2000,55_25_20399,0
55,139,20219,2000,55_139_20219,0
55,19,20500,2000,55_19_20500,0
55,19,20501,2000,55_19_20501,0
55,19,20502,2000,55_19_20502,0
55,19,20503,2000,55_19_20503,0
55,19,20505,2000,55_19_20505,0
55,19,20506,2000,55_19_20506,0
55,19,20507,2000,55_19_20507,0
55,21,20051,2000,55_21_20051,0
55,21,20187,2000,55_21_20187,0
55,21,20037,2000,55_21_20037,0
55,21,20230,2000,55_21_20230,0
55,21,20034,2000,55_21_20034,0
55,21,20242,2000,55_21_20242,0
55,21,20040,2000,55_21_20040,0
55,21,20085,2000,55_21_20085,0
55,21,20247,2000,55_21_20247,0
55,21,20075,2000,55_21_20075,0
55,21,20076,2000,55_21_20076,0
55,21,20277,2000,55_21_20277,0
55,21,20215,2000,55_21_20215,0
55,21,20161,2000,55_21_20161,0
